Fund Holdings as of,25-Apr-25,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
CSH.UN,CHARTWELL RETIREMENT RESIDENCES RE,Health Care,Equity,"19,880,101.59",0.13,"19,880,101.59","1,160,543.00",17.13,Canada,Toronto Stock Exchange,CAD,1,CAD
BYD,BOYD GROUP SERVICES INC,Industrials,Equity,"18,351,790.11",0.12,"18,351,790.11","90,801.00",202.11,Canada,Toronto Stock Exchange,CAD,1,CAD
AC,AIR CANADA VOTING AND VARIABLE VOT,Industrials,Equity,"18,143,433.84",0.12,"18,143,433.84","1,289,512.00",14.07,Canada,Toronto Stock Exchange,CAD,1,CAD
HBM,HUDBAY MINERALS INC,Materials,Equity,"17,194,346.20",0.12,"17,194,346.20","1,669,354.00",10.3,Canada,Toronto Stock Exchange,CAD,1,CAD
CHP.UN,CHOICE PROPERTIES REAL ESTATE INVE,Real Estate,Equity,"16,993,130.70",0.11,"16,993,130.70","1,146,635.00",14.82,Canada,Toronto Stock Exchange,CAD,1,CAD
NXE,NEXGEN ENERGY LTD,Energy,Equity,"16,962,384.60",0.11,"16,962,384.60","2,406,012.00",7.05,Canada,Toronto Stock Exchange,CAD,1,CAD
ATZ,ARITZIA SUBORDINATE VOTING INC,Consumer Discretionary,Equity,"16,774,685.69",0.11,"16,774,685.69","353,971.00",47.39,Canada,Toronto Stock Exchange,CAD,1,CAD
GRT.UN,GRANITE REAL ESTATE INVESTMENT STA,Real Estate,Equity,"16,614,499.14",0.11,"16,614,499.14","263,346.00",63.09,Canada,Toronto Stock Exchange,CAD,1,CAD
EQX,EQUINOX GOLD CORP,Materials,Equity,"16,573,254.08",0.11,"16,573,254.08","1,785,911.00",9.28,Canada,Toronto Stock Exchange,CAD,1,CAD
TXG,TOREX GOLD RESOURCES INC,Materials,Equity,"16,332,912.27",0.11,"16,332,912.27","363,843.00",44.89,Canada,Toronto Stock Exchange,CAD,1,CAD
CS,CAPSTONE COPPER CORP,Materials,Equity,"16,307,870.04",0.11,"16,307,870.04","2,353,228.00",6.93,Canada,Toronto Stock Exchange,CAD,1,CAD
CIX,CI FINANCIAL CORP,Financials,Equity,"16,141,718.75",0.11,"16,141,718.75","516,535.00",31.25,Canada,Toronto Stock Exchange,CAD,1,CAD
SJ,STELLA JONES INC,Materials,Equity,"15,790,757.40",0.11,"15,790,757.40","234,180.00",67.43,Canada,Toronto Stock Exchange,CAD,1,CAD
NGD,NEW GOLD INC,Materials,Equity,"15,652,278.40",0.11,"15,652,278.40","3,330,272.00",4.7,Canada,Toronto Stock Exchange,CAD,1,CAD
ACO.X,ATCO LTD CLASS I,Utilities,Equity,"15,486,397.41",0.1,"15,486,397.41","307,087.00",50.43,Canada,Toronto Stock Exchange,CAD,1,CAD
AG,FIRST MAJESTIC SILVER CORP,Materials,Equity,"15,224,408.00",0.1,"15,224,408.00","1,770,280.00",8.6,Canada,Toronto Stock Exchange,CAD,1,CAD
