iShares MSCI ACWI ex U.S. ETF,,,,,,,,,,,,,,
Fund Holdings as of,25-Apr-25,,,,,,,,,,,,,
Inception Date,26-Mar-08,,,,,,,,,,,,,
Shares Outstanding,"105,400,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
8766,TOKIO MARINE HOLDINGS INC,Financials,Equity,"15,062,896.34",0.25,"15,062,896.34","389,700.00",38.65,Japan,Tokyo Stock Exchange,USD,143.98,JPY,-
660,SK HYNIX INC,Information Technology,Equity,"15,036,363.54",0.25,"15,036,363.54","117,176.00",128.32,Korea (South),Korea Exchange (Stock Market),USD,"1,437.00",KRW,-
BMO,BANK OF MONTREAL,Financials,Equity,"14,922,502.60",0.25,"14,922,502.60","157,059.00",95.01,Canada,Toronto Stock Exchange,USD,1.39,CAD,-
RHM,RHEINMETALL AG,Industrials,Equity,"14,837,170.89",0.25,"14,837,170.89","9,413.00","1,576.25",Germany,Xetra,USD,0.88,EUR,-
NG.,NATIONAL GRID PLC,Utilities,Equity,"14,812,699.07",0.25,"14,812,699.07","1,038,270.00",14.27,United Kingdom,London Stock Exchange,USD,0.75,GBP,-
NAB,NATIONAL AUSTRALIA BANK LTD,Financials,Equity,"14,739,891.31",0.25,"14,739,891.31","656,893.00",22.44,Australia,Asx - All Markets,USD,1.56,AUD,-
ENEL,ENEL,Utilities,Equity,"14,676,524.35",0.25,"14,676,524.35","1,714,451.00",8.56,Italy,Borsa Italiana,USD,0.88,EUR,-
DG,VINCI SA,Industrials,Equity,"14,676,370.16",0.25,"14,676,370.16","106,824.00",137.39,France,Nyse Euronext - Euronext Paris,USD,0.88,EUR,-
CP,CANADIAN PACIFIC KANSAS CITY LTD,Industrials,Equity,"14,560,993.18",0.25,"14,560,993.18","200,962.00",72.46,Canada,Toronto Stock Exchange,USD,1.39,CAD,-
RIO,RIO TINTO PLC,Materials,Equity,"14,362,847.28",0.24,"14,362,847.28","237,192.00",60.55,United Kingdom,London Stock Exchange,USD,0.75,GBP,-
