iShares MSCI ACWI ex U.S. ETF
Fund Holdings as of,"Apr 17, 2025"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"104,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"7011","MITSUBISHI HEAVY INDUSTRIES LTD","Industrials","Equity","12,965,075.24","0.23","12,965,075.24","701,100.00","18.49","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"AEM","AGNICO EAGLE MINES LTD","Materials","Equity","12,955,303.90","0.23","12,955,303.90","106,767.00","121.34","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"CNQ","CANADIAN NATURAL RESOURCES LTD","Energy","Equity","12,917,108.00","0.23","12,917,108.00","449,459.00","28.74","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"DGE","DIAGEO PLC","Consumer Staples","Equity","12,717,666.47","0.22","12,717,666.47","464,037.00","27.41","United Kingdom","London Stock Exchange","USD","0.76","GBP","Jan 01, 1998"
"INGA","ING GROEP NV","Financials","Equity","12,633,423.54","0.22","12,633,423.54","675,463.00","18.70","Netherlands","Euronext Amsterdam","USD","0.88","EUR","-"
"ABI","ANHEUSER-BUSCH INBEV SA","Consumer Staples","Equity","12,572,231.75","0.22","12,572,231.75","191,699.00","65.58","Belgium","Nyse Euronext - Euronext Brussels","USD","0.88","EUR","-"
"9983","FAST RETAILING LTD","Consumer Discretionary","Equity","12,559,414.99","0.22","12,559,414.99","39,000.00","322.04","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"BNS","BANK OF NOVA SCOTIA","Financials","Equity","12,458,732.31","0.22","12,458,732.31","263,181.00","47.34","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"PRX","PROSUS NV CLASS N","Consumer Discretionary","Equity","12,454,672.08","0.22","12,454,672.08","291,017.00","42.80","Netherlands","Euronext Amsterdam","USD","0.88","EUR","-"
"8411","MIZUHO FINANCIAL GROUP INC","Financials","Equity","12,368,603.29","0.22","12,368,603.29","516,460.00","23.95","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"DB1","DEUTSCHE BOERSE AG","Financials","Equity","12,366,462.37","0.22","12,366,462.37","40,144.00","308.05","Germany","Xetra","USD","0.88","EUR","-"
"1211","BYD LTD H","Consumer Discretionary","Equity","12,280,297.27","0.22","12,280,297.27","260,500.00","47.14","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"ITX","INDUSTRIA DE DISENO TEXTIL INDITEX","Consumer Discretionary","Equity","12,130,970.19","0.21","12,130,970.19","227,978.00","53.21","Spain","Bolsa De Madrid","USD","0.88","EUR","-"
"LLOY","LLOYDS BANKING GROUP PLC","Financials","Equity","12,116,999.43","0.21","12,116,999.43","13,020,915.00","0.93","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","12,096,767.78","0.21","12,096,767.78","546,671.00","22.13","India","National Stock Exchange Of India","USD","85.37","INR","-"
"CPG","COMPASS GROUP PLC","Consumer Discretionary","Equity","12,023,029.96","0.21","12,023,029.96","356,007.00","33.77","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"HOLN","HOLCIM LTD AG","Materials","Equity","12,022,410.78","0.21","12,022,410.78","112,506.00","106.86","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"8001","ITOCHU CORP","Industrials","Equity","11,778,090.28","0.21","11,778,090.28","253,800.00","46.41","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Financials","Equity","11,765,124.64","0.21","11,765,124.64","200,072.00","58.80","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
