Fund Holdings as of,"Apr 17, 2025"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"TXG","TOREX GOLD RESOURCES INC","Materials","Equity","17,120,768.04","0.12","17,120,768.04","362,421.00","47.24","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NGD","NEW GOLD INC","Materials","Equity","16,940,485.32","0.12","16,940,485.32","3,347,922.00","5.06","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CHP.UN","CHOICE PROPERTIES REAL ESTATE INVE","Real Estate","Equity","16,933,236.45","0.12","16,933,236.45","1,152,705.00","14.69","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GRT.UN","GRANITE REAL ESTATE INVESTMENT STA","Real Estate","Equity","16,577,105.22","0.11","16,577,105.22","262,379.00","63.18","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"HBM","HUDBAY MINERALS INC","Materials","Equity","16,206,834.04","0.11","16,206,834.04","1,663,946.00","9.74","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CIX","CI FINANCIAL CORP","Financials","Equity","16,195,875.35","0.11","16,195,875.35","519,265.00","31.19","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AG","FIRST MAJESTIC SILVER CORP","Materials","Equity","16,088,126.40","0.11","16,088,126.40","1,779,660.00","9.04","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NXE","NEXGEN ENERGY LTD","Energy","Equity","15,729,082.56","0.11","15,729,082.56","2,397,726.00","6.56","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"OGC","OCEANAGOLD CORPORATION CORP","Materials","Equity","15,690,260.34","0.11","15,690,260.34","3,005,797.00","5.22","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SJ","STELLA JONES INC","Materials","Equity","15,664,846.80","0.11","15,664,846.80","235,420.00","66.54","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ACO.X","ATCO LTD CLASS I","Utilities","Equity","15,506,352.61","0.11","15,506,352.61","308,707.00","50.23","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PEY","PEYTO EXPLORATION & DEVELOPMENT CO","Energy","Equity","15,035,645.04","0.10","15,035,645.04","837,174.00","17.96","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ATZ","ARITZIA SUBORDINATE VOTING INC","Consumer Discretionary","Equity","14,973,789.28","0.10","14,973,789.28","355,841.00","42.08","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GEI","GIBSON ENERGY INC","Energy","Equity","14,817,703.60","0.10","14,817,703.60","688,555.00","21.52","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FCR.UN","FIRST CAPITAL REALTY REAL ESTATE I","Real Estate","Equity","14,808,877.48","0.10","14,808,877.48","898,052.00","16.49","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DPM","DUNDEE PRECIOUS METALS INC","Materials","Equity","14,500,366.92","0.10","14,500,366.92","738,684.00","19.63","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
